ID	種別	発見物名	ランク	説明	時代	ポイント	難易度	経験値	備考	最終更新日時	関連クエスト
996	史跡	アッピア街道	2	共和制ローマ時代に造られた、ローマからイタリア半島南東岸に延びる街道。ローマ街道の中でもっとも歴史が古く、もっとも美しいといわれている。		2	4	230	すべての道はローマに通ず	2018-01-06 18:13:09	1520:すべての道はローマに通ず
2945	史跡	アフィントンの白馬	2	およそ3000年前に描かれたとされる地上絵。長さ110mほど。		4		380		2016-10-07 12:51:53	5618:美しい白馬
2592	史跡	アポロ・エピクリウス神殿	1	ペロポネソス半島中央部の山中にある神殿。ギリシャ神話の太陽神アポロンのために造られたといわれている。古代ギリシャにおける三つの主要な建築様式が用いられており、現地で採れる青みを帯びた方解石が素材となっている。		2				2015-09-14 01:27:00	4959:もうひとつのアポロン神殿
3231	史跡	アマルナの遺跡	2	古代エジプトのフォラオ、アメンホテプ4世の造営した都。彼の死後すぐにテーベへの遷都が行われ、まもなく住民がいなくなったという。古い言葉で「アテン神の地平」を意味する「アケトアテン」とも呼ばれる。		5			他の神を知らず	2018-01-23 01:10:00	1915:他の神を知らず
3167	史跡	アラム・ムルの神の門	5	チチカカ湖周辺にある遺跡。扉のように見える窪みがある。古代の王アラム・ムルはこの窪みを通って姿を消すと、二度と戻ってこなかったと伝えられる。		9	15	1400		2017-05-16 14:11:18	5898:古代の謎の遺跡
997	史跡	アルタイ山脈の岩刻絵群	5	ザナドゥの周辺で見られる、岩に刻まれた動物たちの絵。羊や馬、ヤギなどの動物や、動物を追う狩人の姿が描かれている。古代の人々の生活の様子を垣間見れる貴重な遺跡。		7	9	830	山壁の絵	2015-01-27 02:09:17	3645:山壁の絵,6195:秘境調査任務
2659	史跡	アルテミス神殿跡	4	紀元前から紀元3世紀ごろにかけて存在した神殿。女神アルテミスを奉った総大理石の神殿であったが、放火や破壊に遭い、現在は原型を留めていない。世界七不思議の一つ。		6		640	神殿の真実<br><br>発見時経験値640　発見物カード経験値320	2016-05-15 19:33:02	5240:神殿の真実
3183	史跡	アルメンドレスの環状列石	2	ポルトガル各地にあるクロムレック（環状列石）の一つ。リスボンの東にある古都エヴォラの郊外にあり、規模も古さもポルトガル随一だという。			3	300		2017-08-30 16:34:28	5930:自然の業にあらず
998	史跡	ウル	2	古代メソポタミアで、政治と経済の中心地だったと言われるシュメール人の都市。ウル・ナンム王が建造したという、ジッグラトと呼ばれる建造物が大きな特徴。		3	5	330	古代メソポタミアの都市	2015-01-27 02:09:17	550:古代メソポタミアの都市
999	史跡	ウルク	4	古代メソポタミアにおいて栄えた、シュメール人の都市の一つ。古代の文字が刻まれた粘土板が多数見つかっており、かつての政治・経済の中心地であったことを物語っている。		7	8	700	伝説の王にまつわる遺跡<br><br>発見時経験値700　発見物カード経験値350	2016-06-09 12:05:10	3378:伝説の王にまつわる遺跡
